,Index,District,Village,pH,EC,TDS,TH,Alkalinity,Calcium,Magnesium,Sodium,Potassium,Bicarbonate,Chloride,Sulphate,Fluoride,is_drinkable,WQI,WQC,Carbonate
188,188,4,202,1,1,1,1,124,1,1,1,1,1,1,1,0.27,1,29.65249807740045,1,0
189,189,4,229,1,1,0,0,166,1,1,1,0,1,1,1,0.23,0,44.19550014053305,1,0
190,190,4,396,1,0,0,0,290,1,1,1,0,1,1,1,0.19,0,98.10083838643727,3,0
191,191,4,540,1,1,1,0,86,1,1,1,1,1,1,1,0.73,1,55.238803592550994,2,1
192,192,4,698,1,0,0,0,323,1,1,1,0,0,1,1,0.11,0,99.67930203055384,3,0
193,193,4,997,1,1,1,0,119,1,1,1,1,1,1,1,0.45,1,42.13708649957245,1,1
194,194,4,1004,1,1,1,1,171,1,1,1,1,1,1,1,0.45,1,41.98926565330032,1,1
195,195,4,1174,1,0,0,0,261,1,0,0,0,1,0,1,0.26,0,58.58704813249565,2,0
196,196,4,357,0,0,0,0,280,1,0,1,1,1,1,1,1.57,0,98.05004432522487,3,0
197,197,4,370,1,0,1,0,157,1,1,1,0,1,1,1,0.94,0,70.92693477766767,2,1
198,198,4,801,1,1,1,1,105,1,1,1,1,1,1,1,0.29,1,30.90403128862713,1,1
199,199,4,638,1,0,0,0,81,0,0,0,1,1,0,1,0.14,0,46.84847267615952,1,1
200,200,4,997,0,0,0,0,409,0,1,1,0,0,1,1,0.2,0,174.77889674911555,3,0
201,201,4,1033,1,1,1,0,157,1,1,1,1,1,1,1,0.89,1,63.26506518440397,2,0
202,202,5,4,1,1,1,1,138,1,1,1,1,1,1,1,0.19,1,18.803726489020452,0,1
203,203,5,29,1,0,0,0,223,0,1,1,1,1,1,1,0.2,0,21.118986622330127,0,1
204,204,5,42,1,1,1,1,102,1,1,1,1,1,1,1,0.29,1,22.725029995949598,0,1
205,205,5,105,1,1,1,0,295,1,1,1,1,0,1,1,0.68,0,43.23464830085224,1,1
206,206,5,118,1,0,0,0,376,0,1,1,0,0,1,1,0.25,0,84.87148837934694,3,1
207,207,5,245,1,1,1,0,228,1,1,1,1,1,1,1,0.95,0,57.90056074522988,2,1
208,208,5,254,1,0,0,0,362,1,0,1,1,0,1,1,0.54,0,42.75985096987612,1,1
209,209,5,260,1,0,0,0,377,1,1,1,1,0,1,1,0.91,0,59.12572910890732,2,1
210,210,5,270,1,1,1,1,168,1,1,1,1,1,1,1,0.98,1,56.689029237948624,2,1
211,211,5,321,1,1,1,0,179,1,1,1,1,1,1,1,0.28,1,29.61786525924172,1,1
212,212,5,371,1,0,0,0,332,1,0,1,1,0,1,1,0.49,0,41.09811170579373,1,1
213,213,5,400,1,0,0,0,291,1,1,1,1,0,1,1,1.4,0,78.67838280577543,3,1
214,214,5,426,1,0,1,0,342,1,0,1,1,0,1,1,1.3,0,77.45082546532288,3,1
215,215,5,442,1,0,0,0,326,0,1,1,0,0,1,1,0.29,0,86.26075299952421,3,1
216,216,5,468,1,1,1,0,209,1,1,1,1,1,1,1,1.1,0,65.05748968929038,2,1
217,217,5,474,1,0,0,0,280,1,1,1,1,1,1,1,0.48,0,38.90297042692325,1,1
218,218,5,482,1,0,0,0,342,1,0,1,1,0,1,1,0.52,0,41.13805934768328,1,1
219,219,5,483,1,0,1,0,311,1,0,1,1,0,1,1,1.2,0,74.2572901974737,2,1
220,220,5,516,1,1,1,0,158,1,1,1,1,1,1,1,0.29,1,31.201021121847106,1,1
221,221,5,595,1,0,0,0,393,1,0,1,1,0,1,1,1.4,0,81.58815673014571,3,1
222,222,5,609,1,1,1,1,147,1,1,1,1,1,1,1,0.34,1,26.537747783243425,1,1
223,223,5,623,1,1,1,1,121,1,1,1,1,1,1,1,0.2,1,18.778183639463265,0,1
224,224,5,650,1,0,0,0,323,1,0,1,1,0,1,1,0.83,0,61.35138541802,2,1
225,225,5,664,1,0,0,0,332,0,1,1,1,0,1,1,0.34,0,40.1320058551188,1,1
226,226,5,740,1,0,0,0,282,1,0,1,1,1,1,1,0.14,0,26.72258607967161,1,1
227,227,5,750,1,1,1,0,321,0,1,1,1,0,1,1,0.19,0,22.150495729239108,0,1
228,228,5,762,1,1,1,0,126,1,1,1,1,1,1,1,0.43,1,29.861088325794373,1,1
229,229,5,763,1,1,1,0,290,1,1,1,1,0,1,1,1.26,0,75.74851325100617,3,1
230,230,5,777,1,0,0,0,286,0,1,1,0,1,1,1,0.28,0,96.154660800226,3,1
231,231,5,793,1,1,1,1,94,1,1,1,1,1,1,1,0.32,1,26.499519979892312,1,1
232,232,5,869,1,1,1,0,237,1,1,1,1,1,1,1,1.2,0,73.62158896024516,2,1
233,233,5,870,1,1,1,0,145,1,1,1,1,1,1,1,0.29,1,34.33131095956753,1,1
234,234,5,885,1,0,0,0,158,0,0,1,1,1,0,1,0.27,0,36.79321061246648,1,1
235,235,5,938,1,1,1,0,158,1,1,1,1,1,1,1,0.29,1,35.20629721053945,1,1
236,236,5,945,1,0,0,0,248,1,0,1,1,1,1,1,0.13,0,24.08483416393597,0,1
237,237,5,982,1,1,1,0,168,1,0,1,1,1,1,1,0.4,0,32.70970512969658,1,1
238,238,5,996,1,0,0,0,245,0,0,1,1,1,1,1,0.37,0,36.45629343185649,1,1
239,239,5,1038,1,0,0,0,143,0,0,1,1,1,0,1,0.27,0,35.60307038511716,1,1
240,240,5,1054,1,0,0,0,260,0,1,1,1,1,0,1,0.3,0,41.55698089741315,1,1
241,241,5,1071,1,0,0,0,321,1,0,1,1,0,1,1,0.14,0,26.21939109708328,1,1
242,242,5,1072,1,1,1,0,275,0,1,1,1,1,1,1,0.86,0,57.858334769798965,2,1
243,243,5,1099,1,1,1,0,199,1,1,1,1,1,1,1,1.14,1,68.91362287385397,2,1
244,244,5,1179,1,0,0,0,352,0,0,1,1,0,1,1,0.16,0,27.908868314172448,1,1
245,245,5,1194,1,1,1,0,311,1,1,1,1,0,1,1,0.88,0,59.68938301891011,2,1
246,246,5,1200,1,1,1,0,164,1,1,1,1,1,1,1,0.47,1,34.624959573753245,1,1
247,247,5,1200,1,1,1,0,173,1,1,1,1,1,1,1,0.44,0,38.09319312013636,1,1
248,248,5,156,1,1,1,0,188,1,1,1,1,1,1,1,0.23,1,23.703263069643537,0,1
249,249,6,810,1,1,1,0,125,1,1,1,1,1,1,1,0.33,1,22.183787567821703,0,1
250,250,6,991,1,1,1,1,40,1,1,1,1,1,1,1,0.09,1,13.805738630622274,0,1
251,251,6,981,1,1,1,1,35,1,1,1,1,1,1,1,0.1,1,6.812470191569322,0,1
252,252,6,38,1,1,1,1,20,1,1,1,1,1,1,1,0.14,1,11.80252675010339,0,1
253,253,6,1173,1,0,0,0,150,0,1,1,1,1,1,1,0.38,0,29.70880760050236,1,1
254,254,6,0,1,0,0,0,250,0,0,1,0,1,0,1,0.44,0,49.24539948887298,1,1
255,255,6,617,1,0,0,0,290,0,1,1,1,0,1,1,0.66,0,51.1959297923536,2,1
256,256,6,453,1,1,1,0,210,1,1,1,1,1,1,1,0.47,0,35.15652278517522,1,1
257,257,6,131,1,0,0,0,280,0,1,1,1,1,1,1,0.25,0,25.6495997851104,1,1
258,258,6,598,1,0,0,0,385,0,0,1,1,0,1,1,0.31,0,28.0042546979502,1,1
259,259,6,844,1,0,0,0,480,1,1,1,1,0,1,1,1.28,0,76.2975437711596,3,1
260,260,6,1060,1,0,0,0,250,0,1,1,1,1,1,1,0.65,0,37.642848623130014,1,1
261,261,6,671,1,1,1,0,125,1,1,1,1,1,1,1,0.27,1,26.988685618389265,1,1
262,262,6,876,1,1,1,1,40,1,1,1,1,1,1,1,0.11,1,15.443885312584833,0,1
263,263,6,315,1,1,1,1,40,1,1,1,1,1,1,1,0.13,1,16.44669285987427,0,1
264,264,6,1083,1,1,1,0,180,1,1,1,1,1,1,1,0.17,1,22.56334284089593,0,1
265,265,6,160,1,1,1,0,245,0,1,1,1,1,1,1,0.42,0,31.68452364677155,1,1
266,266,6,657,1,1,1,0,100,1,1,1,1,1,1,1,0.07,1,6.493367845304401,0,1
267,267,6,228,1,1,1,0,182,1,1,1,0,1,1,1,0.37,0,25.170747828247965,1,1
268,268,6,1080,1,1,1,1,91,1,1,1,1,1,1,1,0.23,1,12.078270549171428,0,1
